part_name,size,primer_name_x,primer_name_y,ta,ext_time
RBS30,50,P026J.F,P027J.R,46.78,60
PCymRC,125,P032J.F,P033J.R,49.57999999999999,60
PLuxB,90,P038J.F,P039J.R,51.910000000000004,60
B0015,164,P028J.F,P029J.R,52.12,60
PVanCC,85,P040J.F,P041J.R,52.339999999999996,60
RiboJ,110,P024J.F,P025J.R,53.04,60
P20,95,P007J.F,P008J.R,53.49999999999999,60
PBAD,319,P030J.F,P031J.R,53.88999999999999,60
E11-PhoRadA-C,467,P005J.F,P006J.R,54.169999999999995,60
E20-gp411-N,623,P009J.F,P010J.R,54.23,60
P38,115,P012J.F,P013J.R,54.279999999999994,60
E11-PhoRadA-N,767,P003J.F,P004J.R,54.419999999999995,60
PSalTTC,151,P034J.F,P035J.R,55.15,60
E38-gp418-C,392,P016J.F,P017J.R,55.26999999999999,60
E20-gp411-C,443,P011J.F,P006J.R,56.04999999999999,60
E42-IMPDH1-N,869,P020J.F,P021J.R,56.29999999999999,60
P11,96,P001J.F,P002J.R,56.57999999999999,60
P42,132,P018J.F,P019J.R,57.300000000000004,60
E42-IMPDH1-C,917,P022J.F,P023J.R,57.76999999999999,60
Pcin,261,P036J.F,P037J.R,57.88999999999999,60
E38-gp418-N,638,P014J.F,P015J.R,58.57999999999999,60
